2025-10-17 23:49:25 | INFO | monitoring_service | ✅ strategy_service is UP (http://strategy_service:8020/health) [0.002s]
2025-10-17 23:49:27 | ERROR | monitoring_service | ❌ execution_service unreachable (http://execution_service:8030/health) → [Errno -2] Name or service not known
2025-10-17 23:49:34 | ERROR | monitoring_service | ❌ risk_service unreachable (http://risk_service:8040/health) → 
2025-10-17 23:49:34 | INFO | monitoring_service | ✅ auth_service is UP (http://auth_service:8018/health) [0.002s]
2025-10-17 23:50:07 | INFO | monitoring_service | ✅ data_service is UP (http://data_service:8080/health) [0.002s]
2025-10-17 23:50:07 | INFO | monitoring_service | ✅ strategy_service is UP (http://strategy_service:8020/health) [0.002s]
2025-10-17 23:50:09 | ERROR | monitoring_service | ❌ execution_service unreachable (http://execution_service:8030/health) → [Errno -2] Name or service not known
2025-10-17 23:50:12 | ERROR | monitoring_service | ❌ risk_service unreachable (http://risk_service:8040/health) → 
2025-10-17 23:50:12 | INFO | monitoring_service | ✅ auth_service is UP (http://auth_service:8018/health) [0.004s]
2025-10-17 23:50:46 | INFO | monitoring_service | ✅ data_service is UP (http://data_service:8080/health) [0.002s]
2025-10-17 23:50:46 | INFO | monitoring_service | ✅ strategy_service is UP (http://strategy_service:8020/health) [0.002s]
2025-10-17 23:50:48 | ERROR | monitoring_service | ❌ execution_service unreachable (http://execution_service:8030/health) → [Errno -2] Name or service not known
2025-10-17 23:50:51 | ERROR | monitoring_service | ❌ risk_service unreachable (http://risk_service:8040/health) → 
2025-10-17 23:50:51 | INFO | monitoring_service | ✅ auth_service is UP (http://auth_service:8018/health) [0.003s]
2025-10-17 23:51:24 | INFO | monitoring_service | ✅ data_service is UP (http://data_service:8080/health) [0.002s]
2025-10-17 23:51:24 | INFO | monitoring_service | ✅ strategy_service is UP (http://strategy_service:8020/health) [0.002s]
2025-10-17 23:51:27 | ERROR | monitoring_service | ❌ execution_service unreachable (http://execution_service:8030/health) → [Errno -2] Name or service not known
2025-10-17 23:51:30 | ERROR | monitoring_service | ❌ risk_service unreachable (http://risk_service:8040/health) → 
2025-10-17 23:51:30 | INFO | monitoring_service | ✅ auth_service is UP (http://auth_service:8018/health) [0.002s]
2025-10-17 23:52:03 | INFO | monitoring_service | ✅ data_service is UP (http://data_service:8080/health) [0.002s]
2025-10-17 23:52:03 | INFO | monitoring_service | ✅ strategy_service is UP (http://strategy_service:8020/health) [0.002s]
2025-10-17 23:52:05 | ERROR | monitoring_service | ❌ execution_service unreachable (http://execution_service:8030/health) → [Errno -2] Name or service not known
2025-10-17 23:52:08 | ERROR | monitoring_service | ❌ risk_service unreachable (http://risk_service:8040/health) → 
2025-10-17 23:52:08 | INFO | monitoring_service | ✅ auth_service is UP (http://auth_service:8018/health) [0.004s]
2025-10-17 23:52:42 | INFO | monitoring_service | ✅ data_service is UP (http://data_service:8080/health) [0.003s]
2025-10-17 23:52:42 | INFO | monitoring_service | ✅ strategy_service is UP (http://strategy_service:8020/health) [0.005s]
2025-10-17 23:52:44 | ERROR | monitoring_service | ❌ execution_service unreachable (http://execution_service:8030/health) → [Errno -2] Name or service not known
2025-10-17 23:52:47 | ERROR | monitoring_service | ❌ risk_service unreachable (http://risk_service:8040/health) → 
